Noms dels nadons. 2016;;;;
Catalunya;;;;
Font: Idescat, a partir de l'estadística de naixements.;;;;
Nota: el ‰ ha estat calculat sobre el total de nascuts vius a l'any i en el lloc de residència seleccionats.;;;;
Nota: Només es mostren els noms de freqüència igual o superior a 4.;;;;
Institut d'Estadística de Catalunya;;;;
http://www.idescat.cat/nadons/;;;;
Pos.;Sexe;Nom;Rànquing. Freqüència;Rànquing. ‰
592;H;MIKEL;13;0,19
592;H;MUHAMMAD;13;0,19
592;H;MÁXIMO;13;0,19
592;D;NAIMA;13;0,19
592;D;RODAYNA;13;0,19
592;H;SALVADOR;13;0,19
592;D;SHAILA;13;0,19
592;H;SIMON/SIMÓN;13;0,19
592;H;TON;13;0,19
592;H;VALENTÍN;13;0,19
592;H;YANIS;13;0,19
627;D;ABIGAÏL/ABIGAIL;12;0,17
627;D;AMARA;12;0,17
627;H;ANTONI;12;0,17
627;H;ARYAN;12;0,17
627;D;BELLA;12;0,17
627;D;CORA;12;0,17
627;H;DAMIÁN;12;0,17
627;H;DAREK;12;0,17
627;D;EIDER;12;0,17
627;H;EIZAN;12;0,17
627;D;FRIDA;12;0,17
627;H;ILÍAS;12;0,17
627;D;JARA;12;0,17
627;D;LEONOR;12;0,17
627;H;LLORENÇ;12;0,17
627;D;LUCIANA;12;0,17
627;D;LYA;12;0,17
627;H;MARKEL;12;0,17
627;H;MILAN/MILÁN;12;0,17
627;H;MOHAMED ALI/MOHAMED ALÍ;12;0,17
627;H;MOHAMMAD;12;0,17
627;H;NADIR;12;0,17
627;D;NAILA;12;0,17
627;H;OLAU;12;0,17
627;H;OUSSAMA;12;0,17
627;D;PATRÍCIA/PATRICIA;12;0,17
627;H;RIYAD;12;0,17
627;H;RODRIGO;12;0,17
627;D;SALOMÉ;12;0,17
627;D;SAMIA;12;0,17
627;H;SANTI;12;0,17
627;D;YASMINE;12;0,17
627;D;YLÈNIA/YLENIA;12;0,17
627;D;ÀGATA/ÁGATA;12;0,17
661;D;AFNAN;11;0,16
661;H;AIDEN;11;0,16
661;D;ANGELINA;11;0,16
661;H;ANTHONY;11;0,16
661;H;ARAM;11;0,16
661;D;ARIANNA;11;0,16
661;D;ASSIA;11;0,16
661;D;BAYAN;11;0,16
661;D;CAYETANA;11;0,16
661;D;CHIARA;11;0,16
661;D;DANNA;11;0,16
661;D;EMÍLIA/EMILIA;11;0,16
661;D;ENARA;11;0,16
661;H;ENOC;11;0,16
661;D;ERICA;11;0,16
661;H;ERNEST;11;0,16
661;D;FERDAOUS;11;0,16
661;H;IBRAHIMA;11;0,16
661;D;IDAIRA;11;0,16
661;D;ISIS;11;0,16
661;D;JANAT;11;0,16
661;D;JINAN;11;0,16
661;D;JORDINA;11;0,16
661;H;KARIM;11;0,16
661;H;LLEÓ;11;0,16
661;H;LLIBERT;11;0,16
661;H;LUKE;11;0,16
661;H;MICHAEL;11;0,16
661;H;NAHUEL;11;0,16
661;H;NASSIM;11;0,16
661;H;NEIL;11;0,16
661;D;NIA;11;0,16
661;H;OTTO;11;0,16
661;D;RODAINA;11;0,16
661;D;SOL;11;0,16
661;D;SUSANA;11;0,16
661;H;TAREK;11;0,16
661;D;YARA;11;0,16
661;H;YOEL;11;0,16
661;H;ZAID;11;0,16
701;H;ABDERRAHMAN;10;0,15
701;H;ADNAN;10;0,15
701;D;ALISA;10;0,15
701;D;AMELIE/AMÉLIE;10;0,15
701;D;AMÀLIA/AMALIA;10;0,15
701;D;ANASTÀSIA/ANASTASIA;10;0,15
701;D;ANTÒNIA/ANTONIA;10;0,15
701;D;ASIL;10;0,15
701;H;AYLAN;10;0,15
701;D;CHARLOTTE;10;0,15
701;D;DOLORES;10;0,15
701;D;ESTER;10;0,15
701;D;ESTRELLA;10;0,15
701;H;EYDAN;10;0,15
701;H;FRAN;10;0,15
701;H;FRANCISCO JAVIER;10;0,15
701;D;GARA;10;0,15
701;D;GISELLE;10;0,15
701;D;IKRAM;10;0,15
701;H;IMAD;10;0,15
701;D;ITZEL;10;0,15
701;H;JONATHAN;10;0,15
701;D;KALA;10;0,15
701;D;KAOUTAR;10;0,15
701;H;LIAN;10;0,15
701;H;MOHAMED REDA;10;0,15
701;H;MOUAD;10;0,15
701;H;MUHAMMAD ALI;10;0,15
701;H;NARCÍS;10;0,15
701;H;NEO;10;0,15
701;D;NIHAD;10;0,15
701;H;NIKO;10;0,15
701;D;RAYHANA;10;0,15
701;H;SAFWAN;10;0,15
701;D;SAMANTHA;10;0,15
701;D;SANÇA;10;0,15
701;D;TERESA;10;0,15
701;H;THEO;10;0,15
701;D;THÀLIA/THALIA;10;0,15
701;H;ULISES;10;0,15
701;D;UXIA;10;0,15
701;H;VICENTE;10;0,15
701;H;WAEL;10;0,15
744;D;AGATHA;9;0,13
744;H;AGUSTÍN;9;0,13
744;H;AIMAN;9;0,13
744;H;ALEN;9;0,13
744;H;ANDREI;9;0,13
744;D;AYLA;9;0,13
744;H;BENJAMÍN;9;0,13
744;H;BRAYAN;9;0,13
744;D;CARME;9;0,13
744;H;DILAN;9;0,13
744;D;DOUAE;9;0,13
744;D;DOUNIA;9;0,13
744;D;ELISABET;9;0,13
